1.a art.一(个)；每一(个)
278.autumn n.秋，秋季
279.auxiliary a.辅助的；附属的
280.available a.可利用的；通用的
281.avenue n.林荫道，道路；大街
282.average n.平均数 a.平均的
283.aviation n.航空，航空学
284.avoid vt.避免，躲开；撤消
285.await vt.等候，期待
286.awake a.醒着的 vt.唤醒
287.award n.奖，奖品；判定
288.aware a.知道的，意识到的
289.away ad.离开，远离；…去
290.awful a.令人不愉快的
291.awfully ad.令人畏惧的；很
292.awkward a.笨拙的；尴尬的
293.ax n.斧子
294.axis n.轴，轴线；中心线 
295.baby n.婴儿；孩子气的人
296.back ad.在后；回原处；回
297.background n.背景，后景，经历
298.backward a.向后的；倒的 ad.倒
299.bacteria n.细菌
300.bad a.坏的，恶的；严重的
301.badly ad.坏，差；严重地
302.badminton n.羽毛球
303.bag n.袋，包，钱包，背包
304.baggage n.行李
305.bake vt.烤，烘，焙；烧硬
306.balance vt.使平衡；称 n.天平
307.ball n.球，球状物；舞会
308.balloon n.气球，玩具气球
309.banana n.香蕉；芭蕉属植物
310.band n.乐队；带；波段
311.bang n.巨响，枪声；猛击
312.bank n.银行；库；岩，堤
313.banner n.旗，旗帜，横幅
314.bar n.酒吧间；条，杆；栅
315.barber n.理发师
316.bare a.赤裸的；仅仅的
317.bargain n.交易 vi.议价；成交
318.bark n.吠叫声 vi.吠，叫
319.barn n.谷仓；牲口棚
320.barrel n.桶；圆筒；枪管
321.barrier n.栅栏，屏障；障碍
322.base n.基础，底层；基地
323.basic a.基本的，基础的
324.basically ad.基本上
325.basin n.盆，洗脸盆；盆地
326.basis n.基础，根据
327.basket n.篮，篓，筐
328.basketball n.篮球；篮球运动
329.bat n.球拍；短棍；蝙蝠
330.bath n.浴，洗澡；浴缸
331.bathe vt.给…洗澡；弄湿
332.bathroom n.浴室；盥洗室
333.battery n.电池；一套，一组
334.battle n.战役；斗争 vi.作战
335.bay n.湾；山脉中的凹处
336.B.C. (缩)公元前
337.be aux.v.&vi.是，在，做
338.beach n.海滩，湖滩，河滩
339.beam n.梁；横梁；束，柱
340.bean n.豆，蚕豆
341.bear n.熊；粗鲁的人
342.bear vt.容忍；负担；生育
343.beard n.胡须，络腮胡子
344.beast n.兽，野兽；牲畜
345.beat vt.&vi.打，敲；打败
346.beautiful a.美的，美丽的
347.beauty n.美，美丽；美人
348.because conj.由于，因为
349.become vi.变成；成为，变得
350.bed n.床，床位；圃；河床
351.bee n.蜂，密蜂；忙碌的人
352.beef n.牛肉；菜牛
353.beer n.啤酒
354.before prep.在…以前；向…
355.beg vt.&vi.乞求；请求
356.beggar n.乞丐，穷人
357.begin vi.开始 vt.开始
358.beginner n.初学者，生手
359.beginning n.开始，开端；起源
360.behalf n.利益，维护，支持
361.behave vi.表现，举止；运转
362.behavior n.行为，举止，态度
363.behind prep.在…后面
364.being n.存在；生物；生命
365.belief n.信任，相信；信念
366.believe vt.相信；认为
367.bell n.钟，铃，门铃；钟声
368.belong vi.属于，附属
369.beloved a.为…的爱的 n.爱人
370.below prep.在…下面(以下)
371.belt n.带，腰带；皮带；区
372.bench n.长凳，条凳；工作台
373.bend vt.使弯曲 vi.弯曲
374.beneath prep.在…下方
375.beneficial a.有利的，有益的
376.benefit n.利益；恩惠；津贴
377.berry n.浆果(如草莓等)
378.beside prep.在…旁边
379.besides ad.而且prep.除…之外
380.best a.最好的；最大的
381.bet vt.&vi.&n.打赌
382.betray vt.背叛；辜负；泄漏
383.better a.较好的 ad.更好地
384.between prep.在…中间
385.beyond prep.在…的那边
386.Bible n.基督教《圣经》
387.bicycle n.自行车，脚踏车
388.big a.大的，巨大的
389.bike n.自行车 vi.骑自行车
390.bill n.账单；招贴；票据
391.billion num.万亿(英)
392.bind vt.捆绑；包扎；装钉
393.biology n.生物学；生态学
394.bird n.鸟，禽
395.birth n.分娩，出生；出身
396.birthday n.生日，诞生的日期
397.biscuit n.(英)饼干；(美)软饼
398.bit n.一点，一些，小片
399.bite vt.咬，叮，螫；剌穿
400.bitter a.痛苦的；严寒的
401.bitterly ad.苦苦地；悲痛地
402.black a.黑色的；黑暗的
403.blackboard n.黑板
404.blade n.刀刃，刀片；叶片
405.blame vt.责备，把…归咎于
406.blank a.空白的 n.空白
407.blanket n.毛毯，毯子，羊毛毯
408.blast n.爆炸，冲击波 vt.炸
409.blaze n.火；闪光 vi.燃烧
410.bleed vi.出血，流血；泌脂
411.blend vt.&vi.&n.混和
412.bless vt.为…祝福
413.blind a.瞎的；盲目的
414.block n.街区 vt.堵塞，拦阻
415.blood n.血，血液；血统
416.bloom n.花；开花，开花期
417.blossom n.花，开花 vi.开花
418.blow vi.吹，吹动；吹响
419.blue a.蓝色的 n.蓝色
420.board n.板 vt.上(船、车等)
421.boast vi.自夸 vt.吹嘘
422.boat n.小船，艇；渔船
423.body n.身体；主体；尸体
424.boil vi.沸腾；汽化vt.煮沸
425.bold a.大胆的；冒失的
426.bolt n.螺栓；插销 vt.闩门
427.bomb n.炸弹 vt.轰炸
428.bond n.联结，联系；公债
429.bone n.骨，骨骼
430.book n.书，书籍 vt.预定
431.boot n.靴子，长统靴
432.booth n.货摊；公用电话亭
433.border n.边，边缘；边界
434.bore vt.使厌烦；钻，挖
435.born a.天生的；出生的
436.borrow vt.借，借用，借人
437.bosom n.胸，胸部；内心
438.boss n.老板，上司 vt.指挥
439.both pron.两者(都)
440.bother vt.烦扰，迷惑 n.麻烦
441.bottle n.瓶，酒瓶；一瓶
442.bottom n.底，底部，根基
443.bough n.树枝
444.bounce vi.反跳，弹起；跳起
445.bound a.一定的；有义务的
446.boundary n.分界线，办界
447.bow n.弓；蝴蝶结；鞠躬
448.bowl n.碗，钵；碗状物
449.box n.箱，盒；包箱
450.box vi.拳击，打拳
451.boy n.男孩，少年；家伙
452.brain n.脑，脑髓；脑力
453.brake n.闸，刹车 vi.制动
454.branch n.树枝；分部；分科
455.brand n.商品；烙印 vt.铭刻
456.brandy n.白兰地酒
457.brass n.黄铜；黄铜器
458.brave a.勇敢的，华丽的
459.bread n.面包；食物，粮食
460.breadth n.宽度，幅度；幅面
461.break vt.打破；损坏；破坏
462.breakfast n.早饭，早餐
463.breast n.乳房；胸脯，胸膛
464.breath n.气息，呼吸；气味
465.breathe vi.呼吸 vt.呼吸
466.breed n.品种 vt.使繁殖
467.breeze n.微风，和风
468.brick n.砖，砖块；砖状物
469.bridge n.桥，桥梁；桥牌
470.brief a.简短的；短暂的
471.bright a.明亮的；聪明的
472.brighten vt.使发光；使快活
473.brilliant a.光辉的；卓越的
474.brim n.边，边缘；帽沿
475.bring vt.带来；引出；促使
476.brisk a.活泼的；清新的
477.bristle n.短而硬的毛；鬃毛
478.Britain n.不列颠，英国
479.British a.不列颠的，英联邦的
480.brittle a.脆的；易损坏的
481.broad a.宽的，阔的；广泛的
482.broadcast n.广播，播音
483.broken a.被打碎的，骨折的
484.bronze n.青铜；青铜制品
485.brood n.同窝幼鸟 vt.孵(蛋)
486.brook n.小河，溪流
487.broom n.扫帚
488.brother n.兄弟；同事，同胞
489.brow n.额；眉，眉毛
490.brown n.褐色，棕色
491.bruise n.青肿，伤痕；擦伤
492.brush n.刷子，毛刷；画笔
493.brute n.禽兽，畜生
494.bubble n.泡 vi.冒泡，沸腾
495.bucket n.水桶；吊桶；铲斗
496.bud n.芽，萌芽；蓓蕾
497.build vt.建筑；建立；创立
498.building n.建筑物，大楼；建筑
499.bulb n.电灯泡；球状物
500.bulk n.物体，容积，大批
501.bull n.公牛；雄的象
502.bullet n.枪弹，子弹，弹丸
503.bunch n.束，球，串；一群
504.bundle n.捆，包，束；包袱
505.burden n.担子，重担；装载量
506.bureau n.局，司，处；社，所
507.burn vi.烧，燃烧 n.烧伤
508.burst vt.使爆裂 vi.&n.爆炸
509.bury vt.埋葬，葬；埋藏
510.bus n.公共汽车
511.bush n.灌木，灌木丛，矮树
512.business n.商业，生意；事务
513.busy a.忙的，繁忙的
514.but conj.但是，可是
515.butcher n.屠夫；屠杀者
516.butter n.黄油；奶油
517.butterfly n.蝴蝶
518.button n.扣子；按钮 vt.扣紧
519.buy vt.买，购买 vi.买
520.by prep.在…旁；被，由 
521.cabbage n.洋白菜，卷心菜
522.cabin n.小屋；船舱，机舱
523.cabinet n.橱，柜；内阁
524.cable n.缆，索；电缆；电报
525.cafe n.咖啡馆；小餐厅
526.cafeteria n.自助食堂
527.cage n.笼；鸟笼，囚笼
528.cake n.饼，糕，蛋糕
529.calculate vt.计算；估计；计划
530.calculation n.计算，计算结果
531.calculator n.计算器，计算者
532.calendar n.日历，历书；历法
533.call vt.把…叫做；叫，喊
534.calm a.静的，平静的
535.camel n.骆驼
536.camera n.照相机，摄影机
537.camp n.野营，营地，兵营
538.campaign n.战役；运动
539.campus n.校园，学校场地
540.can aux.v.能，会，可能
541.can n.罐头，听头；容器
542.Canada n.加拿大
543.Canadian a.加拿大的
544.canal n.运河；沟渠；管
545.cancel vt.取消，撤消；删去
546.cancer n.癌，癌症，肿瘤
547.candidate n.候选人；投考者
548.candle n.蜡烛；烛形物；烛光
549.candy n.糖果；砂糖结晶
550.cannon n.大炮，火炮；榴弹炮
551.canoe n.独木舟，皮艇，划子
552.canteen n.小卖部；临时餐室
553.canvas n.粗帆布；一块油画布
554.cap n.帽子，便帽；帽状物
555.capable a.有能力的，有才能的
556.capacity n.容量；能力；能量
557.capital n.资本，资金；首都
558.captain n.陆军上尉；队长
559.captive n.俘虏，被监禁的人
560.capture vt.捕获，俘获；夺得
561.car n.汽车，小汽车，轿车
562.carbon n.碳
563.card n.卡，卡片，名片
564.care vi.关心，介意 n.小心
565.career n.生涯，职业，经历
566.careful a.仔细的；细致的
567.careless a.粗心的，漫不经心的
568.cargo n.船货，货物
569.carpenter n.木工，木匠
570.carpet n.地毯，毡毯，毛毯
571.carriage n.客车厢；四轮马车
572.carrier n.运输工具；运载工具
573.carrot n.胡罗卜
574.carry vt.携带；运载；传送
575.cart n.二轮运货马车
576.carve vt.刻，雕刻；切开
577.case n.情况；事实；病例
578.case n.箱(子)，盒(子)，套
579.cash n.现金，现款
580.cassette n.盒式录音带；盒子
581.cast vt.投，扔，抛；浇铸
582.castle n.城堡；巨大建筑物
583.casual a.偶然的；随便的
584.cat n.猫，猫科，猫皮
585.catalog n.目录，目录册
586.catch vt.捉住；赶上；领会
587.cathedral n.总教堂；大教堂
588.cattle n.牛；牲口，家畜
589.cause n.原因，理由；事业
590.cave n.山洞，洞穴，窑洞
591.cease vi.&vi.&n.停止，停息
592.ceiling n.天花板，顶蓬
593.celebrate vt.庆祝；歌颂，赞美
594.cell n.细胞；小房间
595.cellar n.地窑，地下室
596.cement n.水泥；胶泥 vt.粘结
597.cent n.分；分币；百
598.centigrade a.百分度的
599.centimetre n.公分，厘米
600.central a.中心的；主要的
601.centre n.中心；中枢 vt.集中
602.century n.世纪，百年
603.ceremony n.典礼，仪式；礼节
604.certain a.确实的；肯定的
605.certainly ad.一定，必定；当然
606.certainty n.必然；肯定
607.certificate n.证书，证件，执照
608.chain n.链，链条，项圈
609.chair n.椅子；主席
610.chairman n.主席；议长，会长
611.chalk n.白垩；粉笔
612.challenge n.挑战；要求，需要
613.chamber n.会议室；房间；腔
614.champion n.冠军，得胜者
615.chance n.机会，机遇；可能性
616.change n.改变，变化；零钱
617.channel n.海峡；渠道；频道
618.chapter n.章，回，篇
619.character n.性格；特性；角色
620.characteristic a.特有的 n.特性
621.charge vt.索价；控告 n.费用
622.charity n.施舍；慈善事业
623.charming a.迷人的，可爱的
624.chart n.图，图表；海图
625.chase n.追逐，追赶，追求
626.cheap a.廉价的；劣质的
627.cheat vt.骗取；哄 vi.行骗
628.check vt.检查；制止 n.检查
629.cheek n.面颊，脸蛋
630.cheer vt.使振作；欢呼
631.cheerful a.快乐的，愉快的
632.cheese n.乳酪，干酪
633.chemical a.化学的 n.化学制品
634.chemist n.化学家；药剂师
635.chemistry n.化学
636.cheque n.支票
637.cherry n.樱桃；樱桃树
638.chess n.棋；国际象棋
639.chest n.胸腔，胸膛；箱子
640.chew vt.咀嚼，嚼碎
641.chicken n.小鸡，小鸟；鸡肉
642.chief a.主要的；首席的
643.child n.小孩，儿童；儿子
644.childhood n.童年，幼年；早期
645.childish a.孩子的；幼稚的
646.chill vt.使变冷 n.寒冷
647.chimney n.烟囱，烟筒；玻璃罩
648.chin n.颏，下巴
649.China n.中国
650.china n.瓷器，瓷料
651.Chinese a.中国的 n.中国人
652.chocolate n.巧克力；巧克力糖
653.choice n.选择，抉择
654.choke vt.使窒息；塞满
655.choose vt.选择，挑选；情愿
656.chop vt.砍，劈；切细vi.砍
657.Christian n.基督教徒；信徒
658.Christmas n.圣诞节
659.church n.教堂，礼拜堂；教会
660.cigarette n.香烟，纸烟，卷烟
661.cinema n.电影院；电影，影片
662.circle n.圆，圆周；圈子
663.circuit n.电路；环行；巡行
664.circular a.圆的；循环的
665.circulate vt.使循环 vi.循环
666.circumference n.圆周，周长，圆周线
667.circumstance n.情况，条件；境遇
668.citizen n.公民；市民，居民
669.city n.城市，都市
670.civil a.公民的；文职的
671.civilization n.文明，文化；开化
672.civilize vt.使文明；教育
673.claim vt.声称，主张；索取
674.clap vi.拍手 vt.拍，轻拍
675.clarify vt.澄清，阐明
676.clasp n.扣子，钩子；别针
677.class n.班，班级；阶级
678.classical a.古典的；经典的
679.classification n.分类；分级；分类法
680.classify vt.把…分类
681.classmate n.同班同学
682.classroom n.教室，课堂
683.claw n.爪，脚爪，螯
684.clay n.粘土，泥土；肉体
685.clean a.清洁的；纯洁的
686.clear a.清晰的 vt.清除
687.clearly ad.明白地，清晰地
688.clerk n.店员；办事员，职员
689.clever a.聪明的；机敏的
690.cliff n.悬崖，峭壁
691.climate n.气候；风土，地带
692.climb vi.攀登，爬 vt.爬
693.cloak n.斗篷；覆盖(物)
694.clock n.钟，仪表
695.close vt.关，闭；结束
696.closely ad.紧密地，接近地
697.cloth n.布；衣料；桌布
698.clothe vt.给…穿衣服
699.clothes n.衣服，服装；被褥
700.clothing n.衣服，被褥
701.cloud n.云；云状物；阴影
702.cloudy a.多云的；云一般的
703.club n.俱乐部，夜总会
704.clue n.线索，暗示，提示
705.clumsy a.笨拙的；愚笨的
706.coach n.长途公共汽车
707.coal n.煤，煤块
708.coarse a.粗的，粗糙的
709.coast n.海岸，海滨(地区)
710.coat n.外套，上衣；表皮
711.cock n.公鸡；雄禽；旋塞
712.code n.准则；法典；代码
713.coffee n.咖啡，咖啡茶
714.coil n.(一)卷；线圈 vt.卷
715.coin n.硬币；铸造(硬币)
716.cold a.冷的；冷淡的 n.冷
717.collapse vi.倒坍；崩溃，瓦解
718.collar n.衣领，项圈
719.colleague n.同事，同僚
720.collect vt.收集 vi.收款
721.collection n.搜集，收集；收藏品
722.collective a.集体的；集合性的
723.college n.学院；大学
724.collision n.碰撞；冲突
725.colonel n.陆军上校；中校
726.colony n.殖民地；侨居地
727.color n.颜色，彩色；颜料
728.column n.柱，支柱，圆柱
729.comb n.梳子 vt.梳理
730.combination n.结合，联合；化合
731.combine vt.使结合；兼有
732.come vi.来，来到；出现
733.comfort n.舒适；安慰 vt.安慰
734.comfortable a.舒适的，安慰的
735.command vt.命令，指挥；控制
736.commander n.司令官，指挥员
737.comment n.评论，意见；注释
738.commerce n.商业，贸易；社交
739.commercial a.商业的；商品化的
740.commission n.委任状；委员会
741.commit vt.犯(错误);干(坏事)
742.committee n.委员会；全体委员
743.common a.普通的；共同的
744.commonly ad.普通地，一般地
745.communicate vi.通讯；传达；传播
746.communication n.通讯；传达；交通
747.communism n.共产主义
748.communist n.共产党员
749.community n.社区；社会；公社
750.companion n.同伴；共事者；伴侣
751.company n.公司，商号；同伴
752.comparative a.比较的，相对的
753.compare vt.比较，对照；比作
754.comparison n.比较，对照；比似
755.compass n.罗盘，指南针；圆规
756.compel vt.强迫，迫使屈服
757.compete vi.比赛；竞争；对抗
758.competent a.有能力的；应该做的
759.competition n.竞争，比赛
760.compile vt.编辑，编制，搜集
761.complain vi.抱怨，拆苦；控告
762.complaint n.抱怨；怨言；控告
763.complete a.完整的；完成的
764.completely ad.十分，完全地
765.complex a.结合的；复杂的
766.complicate vt.使复杂；使陷入
767.complicated a.复杂的，难懂的
768.component n.组成部分；分；组件
769.compose vt.组成，构成；创作
770.composition n.构成；作品；写作
771.compound n.化合物；复合词
772.comprehension n.理解，理解力；领悟
773.comprehensive a.广泛的；理解的
774.compress vt.压紧，压缩
775.comprise vt.包含，包括；构成
776.compromise n.妥协，和解
777.compute vt.计算，估计，估算
778.computer n.计算机，电脑
779.comrade n.同志，亲密的同伴
780.conceal vt.把…隐藏起来
781.concentrate vt.集中；聚集；浓缩
782.concentration n.集中；专注；浓缩
783.concept n.概念，观念，设想
784.concern n.关心，挂念；关系
785.concerning prep.关于
786.concert n.音乐会，演奏会
787.conclude vt.推断出；结束
788.conclusion n.结论，推论；结尾
789.concrete n.混凝土；具体物
790.condemn vt.谴责，指责；判刑
791.condense vt.压缩，使缩短
792.condition n.状况，状态；环境
793.conduct n.举止，行为；指导
794.conductor n.售票员；(乐队)指挥
795.conference n.会议，讨论会
796.confess vt.供认，承认；坦白
797.confidence n.信任；信赖；信心
798.confident n.确信的，自信的
799.confine vt.限制；禁闭
800.confirm vt.证实，肯定；批准
801.conflict n.争论；冲突；斗争
802.confuse vt.使混乱，混淆
803.confusion n.混乱；骚乱；混淆
804.congratulate vt.祝贺，向…道喜
805.congratulation n.祝贺；祝贺词
806.congress n.大会；国会，议会
807.conjunction n.接合，连接；连接词
808.connect vt.连接，连结；联系
809.connection n.连接，联系；连贯性
810.conquer vt.征服，战胜；破除
811.conquest n.攻取，征服；克服
812.conscience n.良心，道德心
813.conscious a.意识到的；有意的
814.consciousness n.意识，觉悟；知觉
815.consent n.同意，赞成 vi.同意
816.consequence n.结果，后果
817.consequently ad.因此，因而，所以
818.conservation n.保存，保护；守恒
819.conservative a.保守的 n.保守的人
820.consider vt.认为；考虑；关心
821.considerable a.相当大的；重要的
822.considerate a.考虑周到的；体谅的
823.consideration n.考虑，思考；体贴
824.consist vi.由…组成；在于
825.consistent a.坚持的，一贯的
826.constant a.经常的；永恒的
827.constitution n.章程；体质；构造
828.construct vt.建造；建设；构筑
829.construction n.建造；建筑；建筑物
830.consult vt.请教，查阅
831.consume vt.消耗，消费；消灭
832.consumption n.消耗量；消耗
833.contact vt.使接触；与…联系
834.contain vt.包含，容纳；等于
835.container n.容器；集装箱
836.contemporary a.当代的，同时代的
837.contempt n.轻蔑；藐视；受辱
838.content n.内容，目录；容量
839.content a.满意的，满足的
840.contest vt.争夺，争取；辩驳
841.continent n.大陆；陆地；洲
842.continual a.不断的；连续的
843.continue vt.继续，连续；延伸
844.continuous a.连续不断的，持续的
845.contract n.契约，合同；婚约
846.contradiction n.矛盾，不一致；否认
847.contrary a.相反的 n.相反
848.contrast n.对比，对照，悬殊
